word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
lowest,"['L', 'OW', 'AH', 'S', 'T']","['low', 'est']","['low', 'est']",0.0,2.57e-05,"[25, 12, 3, 31, 33, 0, 0, 0]"
harley,"['HH', 'AA', 'R', 'L', 'IY']","['har', 'ley']","['har', 'ley']",0.0,5.25e-06,"[22, 1, 30, 25, 11, 0, 0, 0]"
drawing,"['D', 'R', 'AO', 'IH', 'NG']","['draw', 'ing']","['draw', 'ing']",0.0,3.8e-05,"[18, 30, 4, 10, 28, 0, 0, 0]"
charlotte,"['SH', 'AA', 'R', 'L', 'AH', 'T']","['char', 'lotte']","['char', 'lotte']",0.0,1.66e-05,"[32, 1, 30, 25, 3, 33, 0, 0]"
plymouth,"['P', 'L', 'IH', 'M', 'AH', 'TH']","['ply', 'mouth']","['ply', 'mouth']",0.0,4.9e-06,"[29, 25, 10, 26, 3, 34, 0, 0]"
warnings,"['W', 'AO', 'R', 'N', 'IH', 'NG', 'Z']","['warn', 'ings']","['warn', 'ings']",0.0,6.03e-06,"[36, 4, 30, 27, 10, 28, 38, 0]"
sao,"['S', 'AW']",['sao'],['sao'],0.0,2.34e-06,"[31, 5, 0, 0, 0, 0, 0, 0]"
fields,"['F', 'IY', 'L', 'D', 'Z']",['fields'],['fields'],0.0,3.98e-05,"[20, 11, 25, 18, 38, 0, 0, 0]"
packaging,"['P', 'AE', 'K', 'IH', 'JH', 'IH', 'NG']","['pack', 'aging']","['pack', 'aging']",0.0,9.12e-06,"[29, 2, 24, 10, 23, 10, 28, 0]"
minute,"['M', 'IH', 'N', 'AH', 'T']",['minute'],['minute'],0.0,9.55e-05,"[26, 10, 27, 3, 33, 0, 0, 0]"
bus,"['B', 'AH', 'S']",['bus'],['bus'],0.0,6.76e-05,"[16, 3, 31, 0, 0, 0, 0, 0]"
coleman,"['K', 'OW', 'L', 'M', 'AH', 'N']","['cole', 'man']","['cole', 'man']",0.0,5.89e-06,"[24, 12, 25, 26, 3, 27, 0, 0]"
lap,"['L', 'AE', 'P']",['lap'],['lap'],0.0,1.51e-05,"[25, 2, 29, 0, 0, 0, 0, 0]"
shot,"['SH', 'AA', 'T']",['shot'],['shot'],0.0,0.000166,"[32, 1, 33, 0, 0, 0, 0, 0]"
passive,"['P', 'AE', 'S', 'IH', 'V']","['pass', 'ive']","['pass', 'ive']",0.0,1.07e-05,"[29, 2, 31, 10, 35, 0, 0, 0]"
boot,"['B', 'UW', 'T']",['boot'],['boot'],0.0,1.55e-05,"[16, 15, 33, 0, 0, 0, 0, 0]"
audit,"['AO', 'D', 'IH', 'T']",['audit'],['audit'],0.0,1.1e-05,"[4, 18, 10, 33, 0, 0, 0, 0]"
phase,"['F', 'EY', 'Z']",['phase'],['phase'],0.0,4.37e-05,"[20, 9, 38, 0, 0, 0, 0, 0]"
tile,"['T', 'AY', 'L']",['tile'],['tile'],0.0,5.25e-06,"[33, 6, 25, 0, 0, 0, 0, 0]"
bag,"['B', 'AE', 'G']",['bag'],['bag'],0.0,6.17e-05,"[16, 2, 21, 0, 0, 0, 0, 0]"
monte,"['M', 'AA', 'N', 'T', 'IY']",['monte'],['monte'],0.0,4.9e-06,"[26, 1, 27, 33, 11, 0, 0, 0]"
fires,"['F', 'AY', 'ER', 'Z']",['fires'],['fires'],0.0,1.48e-05,"[20, 6, 8, 38, 0, 0, 0, 0]"
sec,"['S', 'EH', 'K']",['sec'],['sec'],0.0,2.04e-05,"[31, 7, 24, 0, 0, 0, 0, 0]"
canon,"['K', 'AE', 'N', 'AH', 'N']","['can', 'on']","['can', 'on']",0.0,1.29e-05,"[24, 2, 27, 3, 27, 0, 0, 0]"
hardcore,"['HH', 'AA', 'R', 'D', 'K', 'AO', 'R']","['hard', 'core']","['hard', 'core']",0.0,9.33e-06,"[22, 1, 30, 18, 24, 4, 30, 0]"
annex,"['AE', 'N', 'EH', 'K', 'S']","['an', 'nex']","['an', 'nex']",0.0,3.16e-06,"[2, 27, 7, 24, 31, 0, 0, 0]"
mag,"['M', 'AE', 'G']",['mag'],['mag'],0.0,5.13e-06,"[26, 2, 21, 0, 0, 0, 0, 0]"
push,"['P', 'UH', 'SH']",['push'],['push'],0.0,6.61e-05,"[29, 14, 32, 0, 0, 0, 0, 0]"
checklist,"['CH', 'EH', 'K', 'L', 'IH', 'S', 'T']","['check', 'list']","['check', 'list']",0.0,2.82e-06,"[17, 7, 24, 25, 10, 31, 33, 0]"
mil,"['M', 'IH', 'L']",['mil'],['mil'],0.0,5.5e-06,"[26, 10, 25, 0, 0, 0, 0, 0]"
cult,"['K', 'AH', 'L', 'T']",['cult'],['cult'],0.0,1.23e-05,"[24, 3, 25, 33, 0, 0, 0, 0]"
pain,"['P', 'EY', 'N']",['pain'],['pain'],0.0,0.000107,"[29, 9, 27, 0, 0, 0, 0, 0]"
cum,"['K', 'AH', 'M']",['cum'],['cum'],0.0,1.1e-05,"[24, 3, 26, 0, 0, 0, 0, 0]"
ford,"['F', 'AO', 'R', 'D']",['ford'],['ford'],0.0,3.16e-05,"[20, 4, 30, 18, 0, 0, 0, 0]"
catch,"['K', 'AE', 'CH']",['catch'],['catch'],0.0,7.41e-05,"[24, 2, 17, 0, 0, 0, 0, 0]"
sir,"['S', 'ER']",['sir'],['sir'],0.0,0.000115,"[31, 8, 0, 0, 0, 0, 0, 0]"
unable,"['AH', 'N', 'EY', 'B', 'AH', 'L']","['un', 'able']","['un', 'able']",0.0,4.07e-05,"[3, 27, 9, 16, 3, 25, 0, 0]"
butler,"['B', 'AH', 'T', 'L', 'ER']","['but', 'ler']","['but', 'ler']",0.0,1.2e-05,"[16, 3, 33, 25, 8, 0, 0, 0]"
conclude,"['K', 'AH', 'N', 'K', 'L', 'UW', 'D']","['con', 'clude']","['con', 'clude']",0.0,7.94e-06,"[24, 3, 27, 24, 25, 15, 18, 0]"
verde,"['V', 'ER', 'D', 'IY']",['verde'],['verde'],0.0,1.95e-06,"[35, 8, 18, 11, 0, 0, 0, 0]"
gazette,"['G', 'AH', 'Z', 'EH', 'T']","['gaz', 'ette']","['gaz', 'ette']",0.0,4.07e-06,"[21, 3, 38, 7, 33, 0, 0, 0]"
batman,"['B', 'AE', 'T', 'M', 'AE', 'N']","['bat', 'man']","['bat', 'man']",0.0,1.66e-05,"[16, 2, 33, 26, 2, 27, 0, 0]"
spell,"['S', 'P', 'EH', 'L']",['spell'],['spell'],0.0,2.34e-05,"[31, 29, 7, 25, 0, 0, 0, 0]"
exclusively,"['IH', 'K', 'S', 'K', 'L', 'UW', 'S', 'IH', 'V', 'L', 'IY']","['ex', 'clus', 'ively']","['ex', 'clus', 'ively']",0.0,1.74e-05,"[10, 24, 31, 24, 25, 15, 31, 10]"
webster,"['W', 'EH', 'B', 'S', 'T', 'ER']","['web', 'ster']","['web', 'ster']",0.0,5.75e-06,"[36, 7, 16, 31, 33, 8, 0, 0]"
tasks,"['T', 'AE', 'S', 'K', 'S']",['tasks'],['tasks'],0.0,1.7e-05,"[33, 2, 31, 24, 31, 0, 0, 0]"
monetary,"['M', 'AA', 'N', 'AH', 'T', 'EH', 'R', 'IY']","['mon', 'et', 'ary']","['mon', 'et', 'ary']",0.0,1.26e-05,"[26, 1, 27, 3, 33, 7, 30, 11]"
pit,"['P', 'IH', 'T']",['pit'],['pit'],0.0,1.86e-05,"[29, 10, 33, 0, 0, 0, 0, 0]"
pull,"['P', 'UH', 'L']",['pull'],['pull'],0.0,6.61e-05,"[29, 14, 25, 0, 0, 0, 0, 0]"
sheet,"['SH', 'IY', 'T']",['sheet'],['sheet'],0.0,2.51e-05,"[32, 11, 33, 0, 0, 0, 0, 0]"
firm,"['F', 'ER', 'M']",['firm'],['firm'],0.0,6.17e-05,"[20, 8, 26, 0, 0, 0, 0, 0]"
older,"['OW', 'L', 'D', 'ER']",['older'],['older'],0.0,8.32e-05,"[12, 25, 18, 8, 0, 0, 0, 0]"
skip,"['S', 'K', 'IH', 'P']",['skip'],['skip'],0.0,1.62e-05,"[31, 24, 10, 29, 0, 0, 0, 0]"
float,"['F', 'L', 'OW', 'T']",['float'],['float'],0.0,8.71e-06,"[20, 25, 12, 33, 0, 0, 0, 0]"
paths,"['P', 'AE', 'DH', 'Z']",['paths'],['paths'],0.0,1.05e-05,"[29, 2, 19, 38, 0, 0, 0, 0]"
por,"['P', 'AO', 'R']",['por'],['por'],0.0,3.16e-06,"[29, 4, 30, 0, 0, 0, 0, 0]"
barbara,"['B', 'AA', 'R', 'B', 'ER', 'AH']","['bar', 'bara']","['bar', 'bara']",0.0,1.58e-05,"[16, 1, 30, 16, 8, 3, 0, 0]"
ports,"['P', 'AO', 'R', 'T', 'S']",['ports'],['ports'],0.0,1.17e-05,"[29, 4, 30, 33, 31, 0, 0, 0]"
textbooks,"['T', 'EH', 'K', 'S', 'T', 'B', 'UH', 'K', 'S']","['text', 'books']","['text', 'books']",0.0,4.57e-06,"[33, 7, 24, 31, 33, 16, 14, 24]"
piece,"['P', 'IY', 'S']",['piece'],['piece'],0.0,0.00011,"[29, 11, 31, 0, 0, 0, 0, 0]"
scroll,"['S', 'K', 'R', 'OW', 'L']",['scroll'],['scroll'],0.0,7.24e-06,"[31, 24, 30, 12, 25, 0, 0, 0]"
saved,"['S', 'EY', 'V', 'D']",['saved'],['saved'],0.0,4.68e-05,"[31, 9, 35, 18, 0, 0, 0, 0]"
paying,"['P', 'EY', 'IH', 'NG']","['pay', 'ing']","['pay', 'ing']",0.0,5.62e-05,"[29, 9, 10, 28, 0, 0, 0, 0]"
shots,"['SH', 'AA', 'T', 'S']",['shots'],['shots'],0.0,4.27e-05,"[32, 1, 33, 31, 0, 0, 0, 0]"
choices,"['CH', 'OY', 'S', 'AH', 'Z']",['choices'],['choices'],0.0,2.88e-05,"[17, 13, 31, 3, 38, 0, 0, 0]"
hiring,"['HH', 'AY', 'R', 'IH', 'NG']","['hir', 'ing']","['hir', 'ing']",0.0,1.7e-05,"[22, 6, 30, 10, 28, 0, 0, 0]"
forest,"['F', 'AO', 'R', 'AH', 'S', 'T']",['forest'],['forest'],0.0,5.01e-05,"[20, 4, 30, 3, 31, 33, 0, 0]"
calls,"['K', 'AO', 'L', 'Z']",['calls'],['calls'],0.0,8.13e-05,"[24, 4, 25, 38, 0, 0, 0, 0]"
stone,"['S', 'T', 'OW', 'N']",['stone'],['stone'],0.0,6.31e-05,"[31, 33, 12, 27, 0, 0, 0, 0]"
bucks,"['B', 'AH', 'K', 'S']",['bucks'],['bucks'],0.0,1.55e-05,"[16, 3, 24, 31, 0, 0, 0, 0]"
sheets,"['SH', 'IY', 'T', 'S']",['sheets'],['sheets'],0.0,1.45e-05,"[32, 11, 33, 31, 0, 0, 0, 0]"
puerto,"['P', 'W', 'EH', 'R', 'T', 'OW']","['pu', 'erto']","['pu', 'erto']",0.0,1.1e-05,"[29, 36, 7, 30, 33, 12, 0, 0]"
displays,"['D', 'IH', 'S', 'P', 'L', 'EY', 'Z']","['dis', 'plays']","['dis', 'plays']",0.0,1.17e-05,"[18, 10, 31, 29, 25, 9, 38, 0]"
landscape,"['L', 'AE', 'N', 'D', 'S', 'K', 'EY', 'P']","['land', 'scape']","['land', 'scape']",0.0,2.29e-05,"[25, 2, 27, 18, 31, 24, 9, 29]"
journey,"['JH', 'ER', 'N', 'IY']","['jour', 'ney']","['jour', 'ney']",0.0,4.47e-05,"[23, 8, 27, 11, 0, 0, 0, 0]"
bright,"['B', 'R', 'AY', 'T']",['bright'],['bright'],0.0,4.07e-05,"[16, 30, 6, 33, 0, 0, 0, 0]"
treat,"['T', 'R', 'IY', 'T']",['treat'],['treat'],0.0,5.62e-05,"[33, 30, 11, 33, 0, 0, 0, 0]"
formed,"['F', 'AO', 'R', 'M', 'D']",['formed'],['formed'],0.0,4.79e-05,"[20, 4, 30, 26, 18, 0, 0, 0]"
lee,"['L', 'IY']",['lee'],['lee'],0.0,5.37e-05,"[25, 11, 0, 0, 0, 0, 0, 0]"
egypt,"['IY', 'JH', 'AH', 'P', 'T']",['egypt'],['egypt'],0.0,2.82e-05,"[11, 23, 3, 29, 33, 0, 0, 0]"
suite,"['S', 'W', 'IY', 'T']",['suite'],['suite'],0.0,1.51e-05,"[31, 36, 11, 33, 0, 0, 0, 0]"
vegas,"['V', 'EY', 'G', 'AH', 'S']","['ve', 'gas']","['ve', 'gas']",0.0,2.63e-05,"[35, 9, 21, 3, 31, 0, 0, 0]"
square,"['S', 'K', 'W', 'EH', 'R']",['square'],['square'],0.0,6.92e-05,"[31, 24, 36, 7, 30, 0, 0, 0]"
bios,"['B', 'AY', 'OW', 'S']",['bios'],['bios'],0.0,1.82e-06,"[16, 6, 12, 31, 0, 0, 0, 0]"
applicant,"['AE', 'P', 'L', 'IH', 'K', 'AH', 'N', 'T']","['ap', 'plic', 'ant']","['ap', 'plic', 'ant']",0.0,4.37e-06,"[2, 29, 25, 10, 24, 3, 27, 33]"
ashley,"['AE', 'SH', 'L', 'IY']","['ash', 'ley']","['ash', 'ley']",0.0,1.29e-05,"[2, 32, 25, 11, 0, 0, 0, 0]"
changed,"['CH', 'EY', 'N', 'JH', 'D']",['changed'],['changed'],0.0,0.000117,"[17, 9, 27, 23, 18, 0, 0, 0]"
pet,"['P', 'EH', 'T']",['pet'],['pet'],0.0,2.82e-05,"[29, 7, 33, 0, 0, 0, 0, 0]"
lots,"['L', 'AA', 'T', 'S']",['lots'],['lots'],0.0,7.59e-05,"[25, 1, 33, 31, 0, 0, 0, 0]"
rage,"['R', 'EY', 'JH']",['rage'],['rage'],0.0,1.29e-05,"[30, 9, 23, 0, 0, 0, 0, 0]"
ant,"['AE', 'N', 'T']",['ant'],['ant'],0.0,7.24e-06,"[2, 27, 33, 0, 0, 0, 0, 0]"
pressing,"['P', 'R', 'EH', 'S', 'IH', 'NG']","['press', 'ing']","['press', 'ing']",0.0,1.2e-05,"[29, 30, 7, 31, 10, 28, 0, 0]"
apt,"['AE', 'P', 'T']",['apt'],['apt'],0.0,4.9e-06,"[2, 29, 33, 0, 0, 0, 0, 0]"
blocks,"['B', 'L', 'AA', 'K', 'S']",['blocks'],['blocks'],0.0,2.69e-05,"[16, 25, 1, 24, 31, 0, 0, 0]"
diabetes,"['D', 'AY', 'AH', 'B', 'IY', 'T', 'IY', 'Z']","['dia', 'betes']","['dia', 'betes']",0.0,1.48e-05,"[18, 6, 3, 16, 11, 33, 11, 38]"
shift,"['SH', 'IH', 'F', 'T']",['shift'],['shift'],0.0,3.72e-05,"[32, 10, 20, 33, 0, 0, 0, 0]"
chip,"['CH', 'IH', 'P']",['chip'],['chip'],0.0,2.04e-05,"[17, 10, 29, 0, 0, 0, 0, 0]"
res,"['R', 'EY', 'Z']",['res'],['res'],0.0,6.17e-06,"[30, 9, 38, 0, 0, 0, 0, 0]"
graduates,"['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T', 'S']","['gradu', 'ates']","['gradu', 'ates']",0.0,1.05e-05,"[21, 30, 2, 23, 3, 36, 3, 33]"
propose,"['P', 'R', 'AH', 'P', 'OW', 'Z']","['pro', 'pose']","['pro', 'pose']",0.0,9.77e-06,"[29, 30, 3, 29, 12, 38, 0, 0]"
lesser,"['L', 'EH', 'S', 'ER']","['less', 'er']","['less', 'er']",0.0,1.35e-05,"[25, 7, 31, 8, 0, 0, 0, 0]"
sit,"['S', 'IH', 'T']",['sit'],['sit'],0.0,7.94e-05,"[31, 10, 33, 0, 0, 0, 0, 0]"
cutting,"['K', 'AH', 'T', 'IH', 'NG']","['cut', 'ting']","['cut', 'ting']",0.0,4.07e-05,"[24, 3, 33, 10, 28, 0, 0, 0]"
marks,"['M', 'AA', 'R', 'K', 'S']",['marks'],['marks'],0.0,3.09e-05,"[26, 1, 30, 24, 31, 0, 0, 0]"
flexible,"['F', 'L', 'EH', 'K', 'S', 'AH', 'B', 'AH', 'L']","['flex', 'ible']","['flex', 'ible']",0.0,1.35e-05,"[20, 25, 7, 24, 31, 3, 16, 3]"
stat,"['S', 'T', 'AE', 'T']",['stat'],['stat'],0.0,8.91e-06,"[31, 33, 2, 33, 0, 0, 0, 0]"
norway,"['N', 'AO', 'R', 'W', 'EY']","['nor', 'way']","['nor', 'way']",0.0,1.41e-05,"[27, 4, 30, 36, 9, 0, 0, 0]"
vermont,"['V', 'ER', 'M', 'AA', 'N', 'T']","['ver', 'mont']","['ver', 'mont']",0.0,6.92e-06,"[35, 8, 26, 1, 27, 33, 0, 0]"
asking,"['AE', 'S', 'K', 'IH', 'NG']","['ask', 'ing']","['ask', 'ing']",0.0,9.12e-05,"[2, 31, 24, 10, 28, 0, 0, 0]"
goal,"['G', 'OW', 'L']",['goal'],['goal'],0.0,0.000115,"[21, 12, 25, 0, 0, 0, 0, 0]"
parcel,"['P', 'AA', 'R', 'S', 'AH', 'L']","['par', 'cel']","['par', 'cel']",0.0,4.68e-06,"[29, 1, 30, 31, 3, 25, 0, 0]"
chronicles,"['K', 'R', 'AA', 'N', 'IH', 'K', 'AH', 'L', 'Z']","['chron', 'icles']","['chron', 'icles']",0.0,4.37e-06,"[24, 30, 1, 27, 10, 24, 3, 25]"
readings,"['R', 'EH', 'D', 'IH', 'NG', 'Z']","['read', 'ings']","['read', 'ings']",0.0,7.08e-06,"[30, 7, 18, 10, 28, 38, 0, 0]"
magnetic,"['M', 'AE', 'G', 'N', 'EH', 'T', 'IH', 'K']","['mag', 'net', 'ic']","['mag', 'net', 'ic']",0.0,1.48e-05,"[26, 2, 21, 27, 7, 33, 10, 24]"
outlook,"['AW', 'T', 'L', 'UH', 'K']","['out', 'look']","['out', 'look']",0.0,1.17e-05,"[5, 33, 25, 14, 24, 0, 0, 0]"
denmark,"['D', 'EH', 'N', 'M', 'AA', 'R', 'K']","['den', 'mark']","['den', 'mark']",0.0,1.1e-05,"[18, 7, 27, 26, 1, 30, 24, 0]"
char,"['CH', 'AA', 'R']",['char'],['char'],0.0,2.95e-06,"[17, 1, 30, 0, 0, 0, 0, 0]"
preferred,"['P', 'R', 'AH', 'F', 'ER', 'D']","['pre', 'ferred']","['pre', 'ferred']",0.0,2.24e-05,"[29, 30, 3, 20, 8, 18, 0, 0]"
toddler,"['T', 'AA', 'D', 'L', 'ER']","['tod', 'dler']","['tod', 'dler']",0.0,6.76e-06,"[33, 1, 18, 25, 8, 0, 0, 0]"
listen,"['L', 'IH', 'S', 'AH', 'N']",['listen'],['listen'],0.0,0.000115,"[25, 10, 31, 3, 27, 0, 0, 0]"
findings,"['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']","['find', 'ings']","['find', 'ings']",0.0,2.4e-05,"[20, 6, 27, 18, 10, 28, 38, 0]"
rolled,"['R', 'OW', 'L', 'D']",['rolled'],['rolled'],0.0,1.62e-05,"[30, 12, 25, 18, 0, 0, 0, 0]"
ball,"['B', 'AO', 'L']",['ball'],['ball'],0.0,0.00011,"[16, 4, 25, 0, 0, 0, 0, 0]"
cells,"['S', 'EH', 'L', 'Z']",['cells'],['cells'],0.0,5.62e-05,"[31, 7, 25, 38, 0, 0, 0, 0]"
bits,"['B', 'IH', 'T', 'S']",['bits'],['bits'],0.0,1.51e-05,"[16, 10, 33, 31, 0, 0, 0, 0]"
pregnant,"['P', 'R', 'EH', 'G', 'N', 'AH', 'N', 'T']","['preg', 'nant']","['preg', 'nant']",0.0,3.63e-05,"[29, 30, 7, 21, 27, 3, 27, 33]"
echo,"['EH', 'K', 'OW']",['echo'],['echo'],0.0,1.1e-05,"[7, 24, 12, 0, 0, 0, 0, 0]"
que,"['K', 'Y', 'UW']",['que'],['que'],0.0,6.92e-06,"[24, 37, 15, 0, 0, 0, 0, 0]"
grid,"['G', 'R', 'IH', 'D']",['grid'],['grid'],0.0,1.51e-05,"[21, 30, 10, 18, 0, 0, 0, 0]"
bee,"['B', 'IY']",['bee'],['bee'],0.0,1.23e-05,"[16, 11, 0, 0, 0, 0, 0, 0]"
load,"['L', 'OW', 'D']",['load'],['load'],0.0,3.8e-05,"[25, 12, 18, 0, 0, 0, 0, 0]"
del,"['D', 'EH', 'L']",['del'],['del'],0.0,2.09e-05,"[18, 7, 25, 0, 0, 0, 0, 0]"
merit,"['M', 'EH', 'R', 'AH', 'T']","['mer', 'it']","['mer', 'it']",0.0,1.2e-05,"[26, 7, 30, 3, 33, 0, 0, 0]"
ons,"['AA', 'N', 'Z']",['ons'],['ons'],0.0,3.63e-06,"[1, 27, 38, 0, 0, 0, 0, 0]"
counting,"['K', 'AW', 'N', 'T', 'IH', 'NG']","['count', 'ing']","['count', 'ing']",0.0,1.86e-05,"[24, 5, 27, 33, 10, 28, 0, 0]"
clinics,"['K', 'L', 'IH', 'N', 'IH', 'K', 'S']","['clin', 'ics']","['clin', 'ics']",0.0,6.17e-06,"[24, 25, 10, 27, 10, 24, 31, 0]"
cow,"['K', 'AW']",['cow'],['cow'],0.0,1.38e-05,"[24, 5, 0, 0, 0, 0, 0, 0]"
manitoba,"['M', 'AE', 'N', 'IH', 'T', 'OW', 'B', 'AH']","['man', 'itoba']","['man', 'itoba']",0.0,2.69e-06,"[26, 2, 27, 10, 33, 12, 16, 3]"
markers,"['M', 'AA', 'R', 'K', 'ER', 'Z']","['mark', 'ers']","['mark', 'ers']",0.0,5.25e-06,"[26, 1, 30, 24, 8, 38, 0, 0]"
weights,"['W', 'EY', 'T', 'S']",['weights'],['weights'],0.0,7.24e-06,"[36, 9, 33, 31, 0, 0, 0, 0]"
lasting,"['L', 'AE', 'S', 'T', 'IH', 'NG']","['last', 'ing']","['last', 'ing']",0.0,1.29e-05,"[25, 2, 31, 33, 10, 28, 0, 0]"
bondage,"['B', 'AA', 'N', 'D', 'IH', 'JH']","['bond', 'age']","['bond', 'age']",0.0,2.88e-06,"[16, 1, 27, 18, 10, 23, 0, 0]"
labor,"['L', 'EY', 'B', 'ER']",['labor'],['labor'],0.0,5.89e-05,"[25, 9, 16, 8, 0, 0, 0, 0]"
presenting,"['P', 'R', 'IH', 'Z', 'EH', 'N', 'T', 'IH', 'NG']","['present', 'ing']","['present', 'ing']",0.0,1.2e-05,"[29, 30, 10, 38, 7, 27, 33, 10]"
cos,"['K', 'AO', 'S']",['cos'],['cos'],0.0,1.12e-05,"[24, 4, 31, 0, 0, 0, 0, 0]"
pac,"['P', 'AE', 'K']",['pac'],['pac'],0.0,8.51e-06,"[29, 2, 24, 0, 0, 0, 0, 0]"
broad,"['B', 'R', 'AO', 'D']",['broad'],['broad'],0.0,3.39e-05,"[16, 30, 4, 18, 0, 0, 0, 0]"
